Date,BND,TIP,VTI,VXUS
2016-12-01,61.55951690673828,86.177001953125,99.19255065917969,34.54210662841797
2017-01-01,61.9538688659668,87.13349914550781,101.66442108154297,36.25753402709961
2017-02-01,62.20647048950195,87.49217224121094,105.42081451416016,36.74348831176758
2017-03-01,62.190128326416016,87.49217224121094,105.00536346435547,37.72300338745117
2017-04-01,62.67245101928711,87.76688385009766,106.60061645507812,38.62183380126953
2017-05-01,63.123023986816406,87.63352966308594,107.67869567871094,39.76447296142578
2017-06-01,63.15299987792969,86.89289093017578,108.20034790039062,39.58927917480469
2017-07-01,63.4095344543457,87.26541137695312,110.74256896972656,41.362937927246094
2017-08-01,64.08489227294922,88.22960662841797,110.90850830078125,41.58623123168945
2017-09-01,63.91661071777344,87.59627532958984,113.12701416015625,42.1406135559082
