Date,Value,Drawdown
2021-11-18,21931.53367063576,-0.005793390585641767
2021-11-19,21905.315869670987,-0.006981903500193898
2021-11-22,21490.515708098817,-0.025785744053002824
2021-11-23,21362.929418555366,-0.0315695225264887
2021-11-24,21493.307653642296,-0.025659178772428404
2021-11-26,21250.20952301674,-0.036679373339477905
2021-11-29,21235.66446353988,-0.03733873417047984
2021-11-30,21203.988131416892,-0.03877469479373741
2021-12-01,21182.032616639535,-0.03976998852159774
2021-12-02,21206.661148515854,-0.03865352081170881
2021-12-03,21391.280120768235,-0.03028432031742878
2021-12-06,21186.181617296843,-0.039581904827228453
2021-12-07,21064.635330631285,-0.045091876148316
2021-12-08,20854.6661167415,-0.054610261107515656
2021-12-09,20786.592443219586,-0.05769619650806723
2021-12-10,20831.205372843087,-0.05567379031600006
2021-12-13,20893.710564574227,-0.05284028693793885
2021-12-14,20809.00836487104,-0.05668003148300893
2021-12-15,20960.53436187418,-0.0498110112867457
2021-12-16,20772.35572411673,-0.05834157956430952
2021-12-17,20624.394372625462,-0.06504900622218424
2021-12-20,20497.16422072196,-0.07081664016146583
2021-12-21,20510.59806169196,-0.07020765340829227
2021-12-22,20723.107749942712,-0.060574102932688056
2021-12-23,20822.127641603438,-0.056085304646574685
2021-12-27,20941.92966130954,-0.05065440493833995
2021-12-28,20826.621681377717,-0.05588157953944539
2021-12-29,20821.18810789544,-0.05612789585958733
2021-12-30,20875.752566012663,-0.05365436410782065
2021-12-31,20871.922307136974,-0.05382799850782061
2022-01-03,20798.591742793655,-0.057152240799176024
2022-01-04,20838.672190757497,-0.05533530237287276
2022-01-05,20363.834289706814,-0.07686079104661336
2022-01-06,20236.15475391437,-0.08264879658595092
2022-01-07,20259.229332372728,-0.08160277314056519
2022-01-10,20204.597864202926,-0.08407934261136096
2022-01-11,20489.07575893494,-0.07118330864390832
2022-01-12,20644.199131655485,-0.06415121117414024
2022-01-13,20513.190193658662,-0.07009014613440656
2022-01-14,20480.0050025062,-0.07159450679034329
2022-01-18,20295.61886469013,-0.079953152366807
2022-01-19,20475.019557868753,-0.07182050840445087
2022-01-20,20421.521369991835,-0.07424570368617156
2022-01-21,20369.341082631057,-0.0766111555216118
2022-01-24,20381.020704335035,-0.07608169154212274
2022-01-25,20407.16110661552,-0.07489668728704846
2022-01-26,20146.652499300155,-0.08670613860458398
2022-01-27,20040.905692705266,-0.09149988333853598
2022-01-28,20050.727238877436,-0.09105465017492398
2022-01-31,20054.891543887985,-0.09086587269919977
2022-02-01,19971.162087705063,-0.09466152055446975
2022-02-02,20023.564544619025,-0.09228599726477082
2022-02-03,19917.99921941342,-0.09707151503204436
2022-02-04,19768.3854910428,-0.1038538477151596
2022-02-07,19740.57124330237,-0.10511473121536152
2022-02-08,19842.231326564906,-0.10050624700212318
2022-02-09,20217.281084631995,-0.08350438320502807
2022-02-10,19830.168429637444,-0.10105308572457994
2022-02-11,19350.02316450427,-0.12281916935755255
2022-02-14,19388.112958738908,-0.12109247182020633
2022-02-15,19479.42441083375,-0.11695311473960857
2022-02-16,19630.27403004062,-0.11011475629667344
2022-02-17,19684.0850094637,-0.10767538145837308
2022-02-18,19666.886580891955,-0.10845502558241638
2022-02-22,19674.140397668692,-0.10812619346829166
2022-02-23,19733.033888905542,-0.10545641673865247
2022-02-24,19688.972293726063,-0.10745382967869821
2022-02-25,19642.70072865382,-0.10955142561127829
2022-02-28,19901.25139499804,-0.09783073223851724
2022-03-01,20175.134583716317,-0.08541498053959373
2022-03-02,19908.49173379852,-0.09750251111189912
2022-03-03,19965.944994233156,-0.09489802334034869
2022-03-04,20213.881189741856,-0.08365850822071796
2022-03-07,20393.04494652864,-0.07553660512720928
2022-03-08,20767.151256139743,-0.058577510007611466
2022-03-09,20314.618960120126,-0.07909183456114444
2022-03-10,20333.669073192126,-0.07822824934130945
2022-03-11,20305.295352477293,-0.07951449503173902
2022-03-14,20037.983857787258,-0.09163233680169669
2022-03-15,19762.53655146778,-0.10411899353080944
2022-03-16,19765.860020492983,-0.10396833307447007
2022-03-17,19909.873771432525,-0.09743986018329465
2022-03-18,20010.244855460896,-0.09288980925508705
2022-03-21,19955.318338892877,-0.0953797539449629
2022-03-22,20091.840874986712,-0.08919087496564038
2022-03-23,19829.086094542406,-0.10110215045125381
2022-03-24,20157.40979402371,-0.08621848581777058
2022-03-25,20127.7765236295,-0.0875618297775198
2022-03-28,20262.990288087392,-0.0814322804114479
2022-03-29,20685.22953056771,-0.06229120929747889
2022-03-30,20470.362463036126,-0.07203162517051032
2022-03-31,20170.280446848807,-0.08563502967200542
2022-04-01,20218.886716753652,-0.08343159622662455
